Player,NOTES
Anthony Miller,"Despite playing with Mitch Trubisky, Miller has now seen 139 targets in his first two seasons, compiling 85 receptions for 1,079 yards and nine touchdowns. By comparison, Robert Woods saw 139 targets last year, finishing with 90 receptions for 1,134 yards and two touchdowns. But for whatever reason, Matt Nagy has chosen not to let Miller flourish in the Bears offense. There were just seven games he saw more than three targets. In those seven games, he totaled 42 receptions for 547 yards, and two touchdowns. With Taylor Gabriel gone, it‘s very possible that Miller becomes more of a staple in the offense. He‘s best viewed as a WR4/5-type option with WR3 upside."
Emmanuel Sanders,"In the 17 games that Sanders played last year (no bye week for him with the trade), he totaled more than 33 yards just eight times. In every one of those games, he saw at least six targets. That‘s going to be difficult to come by during his time in New Orleans. Michael Thomas is going to get a massive chunk of the targets, and rightfully so. You don‘t want to start taking targets away from Alvin Kamara, either. And judging how efficient Jared Cook was last year, you‘d be hard pressed to take away any of his 65 targets from last year. So, where do the targets for Sanders come from? He‘s now 33 years old and is clearly towards the end of his career. This was a better move from a football standpoint than a fantasy one. Yes, he‘s getting a big upgrade at quarterback, but you need targets to produce. There was just one game last year where a Saints receiver not named Michael Thomas saw more than six targets. He‘s a WR5 for me, which means I‘ll have none at his current cost of WR44."
Cam Newton,"The last time we saw Newton on a football field, he didn‘t look so great. His season was ended in 2019 due to a Lisfranc injury that could affect his mobility moving forward, and he also had shoulder surgery after the 2018 season. In the two full games he played in 2019, he rushed for negative two yards. NEGATIVE. He needs the mobility in order to remain relevant in fantasy. Why? Well, do you know how many times he‘s thrown more than 24 touchdowns in a season? Once. Jimmy Garoppolo threw 27 last year. I‘m not saying that Newton doesn‘t have any mobility anymore, but rather that he‘s lost a lot of it. Newton rushed for at least 539 yards in each of his first five seasons. Since then, he‘s topped 488 rushing yards once (over four years). On top of that, there‘ve been just three quarterbacks who‘ve rushed for 500 yards after turning 30 years old. Sure, Newton is a physical specimen, but that‘s also what likely led to his injuries, as you‘re not supposed to be as big as he is and move the way he does. Now you add in a shortened offseason, a new playbook, and new set of wide receivers, yet he‘s still expected to return to the old days? He‘s going to try, that much is certain. I‘m guessing we get Newton Lite, something similar to what we saw in 2016 where he rushed for 359 yards and five touchdowns. I wouldn‘t want to draft him with ultra-high expectations, and for what it‘s worth, his draft position is perfectly fine, as he‘s going around the QB15 in Yahoo and ESPN leagues. By drafting him there, you have no qualms about cutting him for a streamer if things don‘t work out. Stidham will be waiting in the wings because you don‘t sign Newton to sit him on the bench."
Jared Goff,"I can‘t explain what happened to Goff after that game in 2018 where the Rams went toe-to-toe with the Chiefs (remember that 54-51 game?) but something happened. In his first 26 games under Sean McVay, Goff threw 54 touchdowns on 858 pass attempts (6.3 percent touchdown rate). Since that Chiefs game in 2018, he‘s thrown just 28 touchdowns in 21 games on 806 pass attempts (3.5 percent touchdown rate). That‘s not great for a quarterback who offers nothing with his legs. He did throw two touchdowns in eight games last year but didn‘t hit three touchdowns until Week 17. Now you take away Brandin Cooks and Todd Gurley, only to replace them with Van Jefferson and Cam Akers? It‘s quite ridiculous, but the Rams didn‘t address the offensive line issues, either. Their offensive line was among the worst in football last year, which is a problem because Goff isn‘t good under pressure. He ranked 25th among quarterbacks with a 60.4 QB Rating under duress. The offensive line is the biggest concern for me, as that‘s the one thing that took a major step back last year, and it seriously impacted his numbers. The good news is that his pass attempts have been skyrocketing, which help make up for some of the decreased efficiency. Goff makes for a decent No. 2 quarterback in Superflex/2QB leagues, as he‘s not getting benched, and there‘s always the possibility he goes back to who he was, though I‘m not counting on it based on the moves that were - and weren‘t - made this offseason."
Jonnu Smith,"Many compared Smith to someone like Delanie Walker back when he was drafted in 2017. We saw shades of that and even heard Bill Belichick give him props as one of the top tight ends in the league prior to their playoff matchup. Still, he‘s going to need more than 3-5 targets per game to get into the TE1 conversation. Despite Walker going down for the year, Smith saw more than five targets just twice all season and finished with 44 on the year. With the offense still projected for less than 500 pass attempts, it‘ll be difficult for Smith to truly break out. He should be considered a strong streamer in good matchups."
Duke Johnson,"Despite continually being one of the most efficient running backs in football, it seems there‘s no head coach who wants to give Johnson his shot at a bigger role. This will be his sixth season in the NFL and he‘s never topped 104 carries in a season despite the fact that he‘s averaged 4.5 yards per carry (4.91 over the last four years) over his career. Now having to deal with David Johnson, whose best attribute is catching passes out of the backfield, it‘s unlikely Duke has any value with David healthy. However, it needs to be stated that David has played just 22 full games over the last three years and will be 29 years old at the end of the season. Should he miss time, Duke might get the opportunity that we‘ve been waiting for."
T.J. Hockenson,"There‘s an article I wrote this offseason that was titled, “Which Fantasy Players Should Have Scored the Most Fantasy Points."" In that article, I highlighted that every target/carry/pass attempt has an expected outcome in fantasy points. A target on your own 10-yard line isn‘t worth as much as a target on the opponent‘s 20-yard line, etc. Each of the tight ends who finished top-12 in opportunity finished top-13 at year‘s end, so it‘s clearly something to look for. Based on Hockenson‘s pace over 16 games, he would‘ve been the No. 12 tight end in opportunity. Now going into his second season, we should see his role grow. Hockenson was one of the least efficient players in all of football last year, and even going over the last 10 years, his 54.2 percent catch-rate ranked 331st among 357 tight ends who‘ve seen at least 30 targets. There‘s only room for improvement, so if you‘re looking for a potential late-round tight end, he has more opportunity than most realize."
Antonio Gibson,"There were a lot of people out there who liked Gibson as a sleeper, though I can‘t get on board now that he‘s going in the mid rounds. He plays for what might be the lowest-scoring offense in the league, and is still on a depth chart littered with at least four other running backs. Sure, he‘s going to be used in some sort of hybrid way, but do we really expect two Washington wide receivers to be consistent enough to rely on? He may be an electric player but his offense isn‘t. I‘d rather take a player tied to an exciting offense."
Tony Pollard,"We saw flash out of Pollard last year, as he posted three games with 17-plus PPR points, and that was with Ezekiel Elliott on the field. Now a year older, the Cowboys may decide to dial back the veteran‘s workload, which would provide Pollard with a bigger role. If Elliott were to miss time, Pollard would immediately jump into the RB1 conversation."
Chase Edmonds,"There are some who believe Edmonds is the surefire handcuff to Kenyan Drake, though I‘m not entirely sure of that, as Eno Benjamin is someone who can play. Sure, he fell to the seventh round, but it‘s not like Edmonds is a can‘t-miss player. We do know the Cardinals starting position is very valuable, so once we know which player is the handcuff, they should have bench priority in case an injury should arise."
Damien Harris,"The 2019 usage, or lack thereof, for Harris was puzzling to say the least. When you draft a running back in the third round, you typically use him in some sort of role. Of the 22 running backs who‘ve been drafted in the third round over the last seven years, Harris’ four touches were the fewest. He‘s the clear-cut handcuff to Sony Michel who‘s been extremely inefficient. If that continues in 2020, we could see the Patriots activate Harris (who doesn‘t contribute on special teams) and use him as their early-down back."
Ke'Shawn Vaughn,"During the scouting process, I felt like Vaughn was just a guy, not a difference maker. That‘s not to say he wouldn‘t be able to produce if given the opportunity, but I don‘t think opportunity will simply be given to him. Don‘t forget that David Johnson saw just 161 touches his rookie season under Bruce Arians, and that was while he was extremely efficient. Interestingly enough, he was also a third-round pick. This is a situation to monitor throughout the offseason."
Boston Scott,"The end of the 2019 season brought a lot of optimism for Scott‘s outlook, racking up 350 total yards and four touchdowns on just 61 touches over the season‘s final four games. During those four games, Miles Sanders scored exactly 1.3 more fantasy points than Scott. It may have been good enough for the Eagles to avoid free agent running backs and allow him to be the part of the timeshare duo with Sanders."
Preston Williams,"Did you know that Williams was the No. 39 wide receiver through nine weeks last year? That was despite them having their bye in Week 5, as well as him not being a true starter until Week 3. He was extremely good his rookie year. He‘s coming off a torn ACL, which isn‘t an injury that‘s as detrimental as it used to be, but it may be tough for him to return as the same player in a brand-new offense. The Dolphins defense improved greatly, their run game should be much better, and they‘ll eventually transition to a rookie quarterback. These are all question marks, but fortunately, Williams is being drafted outside the top 60 wide receivers, similar to the way DeVante Parker was last year. Given their current prices (Williams WR61, Parker WR22), Williams seems like a much better value than Parker this year. Knowing that Allen Hurns and Albert Wilson have opted out, there are plenty of targets up for grabs, making Williams a solid WR4/5 on fantasy teams that you can spot-start depending on matchups."
Baker Mayfield,"It was a nightmare sophomore season for Mayfield, who regressed rather than progressed. His completion percentage dropped 4.4 points, yards per attempt dropped 0.5 yards, he threw five less touchdowns, and threw seven more interceptions. Wait, I thought Odell Beckham was supposed to help? It‘s clear that Freddie Kitchens hurt all players involved, as even Nick Chubb was extremely inefficient in the red zone, totaling negative 16 yards on nine carries inside the five-yard-line. Let‘s just erase that season, shall we? Kevin Stefanski will be the new head coach and play caller. Do we have a lot to go off? Not really. What we do know is that they added two offensive linemen who‘ll make a difference at the most important positions, as well as add a pass-catching tight end. It seems they would like to replicate what the Vikings did last year under Stefanski, which would be brutal for Mayfield‘s outlook, as Kirk Cousins threw the ball just 444 times. Mayfield has some mobility but not enough to overcome that low of volume through the air. But knowing that‘s possible, we know Mayfield could have a lower floor than most would like to admit. He should be treated as an excellent QB2 in Superflex/2QB formats, while being looked at as a streamer in standard leagues."
Dallas Goedert,"We saw an upward trajectory in Goedert‘s career in 2019, though much of it was due to injuries to all of the wide receivers. Still, he saw at least five targets in 10 of the last 11 games, highlighting how much he‘s trusted. He‘s one of the rare cases of a tight end handcuff who has league-winning upside should anything happen to Zach Ertz. He does present some value on his own, but not enough to make it into the top-12 conversation."
Golden Tate,"I remember when Tate was just a young guy in the league trying to find a role in the Seahawks offense. Here we are, now entering his 11th season at 32 years old. As you can see from the Shepard paragraph, Tate was semi-consistent with his targets, but you also have to factor in where he played on the field. Both Saquon Barkley and Evan Engram missed time throughout the year, which should‘ve led to more targets for Tate. He had them most of the time, but even more importantly, he produced when he played. He produced WR3 or better numbers in 81.8 percent of his games last year. You know who did that more often than him? Michael Thomas. That‘s it. It is a new offense and Barkley/Engram are healthy, so don‘t expect that anymore, but understand that there‘s likely a place for him in fantasy football, especially when you consider the state of the Giants defense that‘ll be among the league‘s worst. He‘s not sexy and won‘t finish as a top-24 receiver, but he can be a WR4 type that you plug in when you know the Giants will be throwing a ton."
Ryan Tannehill,"When someone goes from anywhere in between 6.7 and 7.7 yards per attempt throughout their first six years, then jumps up to 9.6 yards per target, we call that an outlier, especially when said outlier contains just a 286-pass attempt sample size. We can‘t ignore it, though. Tannehill put his name on the record books, as his 117.5 QB Rating in 2019 ranks as the fourth-best all-time. His 0.67 fantasy points per actual pass attempt ranked as the fourth-best mark over the last 10 years. What made it all that more impressive is that he was sacked every 10.8 dropbacks, which was the third-most often in the league. By comparison, Drew Brees was sacked every 32.5 dropbacks. So, that leaves us saying, “Okay, we know there‘ll be regression, but how much?"" Under Mike Vrabel, the Titans have run exactly 58.8 plays per game in each of his first two seasons as head coach. We know they want to be a run-first team, right? That‘s why the pass attempts have been 432 in 2018 and 448 in 2019. That‘s a problem. For the sake of argument, let‘s raise that number to 500, which would be a massive difference. Even assigning Tannehill a number of 8.3 yards per attempt (Patrick Mahomes’ number from 2019), it would amount to 4,150 yards. Then let‘s say he throws a touchdown on 5.0 percent of his passes (Dak Prescott from 2019). That would amount to 25 touchdowns. So, 4,150 passing yards and 25 touchdowns while comparing him to Mahomes and Prescott, while raising his pass attempts up to 500? Do you see why it makes little sense to think Tannehill even approaches top-10 territory? By comparison, Tom Brady threw for 4,057 yards and 24 touchdowns last year - he was hardly usable. Treat Tannehill as a streamer and you‘ll be happy. He‘s a great No. 2 quarterback to have in Superflex/2QB leagues because he‘s locked into the job and has shown top-five upside, even if it‘s highly improbable."
Henry Ruggs III,"It appears that the Raiders will start by using Ruggs in the slot, which makes more sense than most realize. He‘s fast, sure. However, that‘s not his best attribute. He‘s slippery in the open field, takes great angles and utilizes his speed to get away from defenders. The best thing to do is get Ruggs the ball in his hands and let him create. Did you know that Jerry Jeudy had more than double the deep-ball receptions that Ruggs did while at Alabama? It‘s because Ruggs was used a lot on screens and reverses. Putting him in the slot will manufacture touches to get the ball in his hands and let him create. He shouldn‘t be pigeonholed to the slot, and I don‘t think he will be, but playing there is not a bad thing. Did you know slot targets are worth 10.8 percent more than perimeter targets? Seriously, I‘ve done the research (can be read here). On top of that, Derek Carr had the lowest average depth of target among quarterbacks last year, so should love someone like Ruggs who creates after the catch. When a team spends a No. 12 overall pick on someone, they‘re going to find ways to get him the ball, so finding out the slot is his primary home makes you feel better about his potential in year one. I‘d say his floor should be around 70 targets with a ceiling of 100 targets. He should also get some carries mixed in. Because of that combined with his one-play upside, he‘s worth WR3 consideration. Fortunately, you don‘t have to use a high pick on him, as he‘s going around the 11th-12th round. Even if you reach a round or two, I don‘t think you‘ll be disappointed if you have him on your roster as a WR4 with tremendous weekly upside."
Mecole Hardman,"I understand the want to draft Hardman, I really do. But has the hype train gotten out of control? He‘s played four years of college and pro football, and here are his touch totals (most recent first): 30, 40, 33, and 0. He‘s been highly efficient on almost all of those touches, but at some point, you have to ask yourself why he‘s not getting more. Seriously, his efficiency last year was out of this world. Here are some stats for you from my 175 interesting facts from the 2019 football season article: - Among wide receivers who‘ve seen at least 30 targets, Mecole Hardman‘s 13.1 yards per target ranks as the third-highest mark among wide receivers over the last 10 years. - Mecole Hardman averaged 2.77 PPR points per target in 2019, which ranked as the fourth-best mark among wide receivers over the last 10 years. Pretty nuts, right? I‘m not arguing his efficiency at all. His performance last year was very Tyreek Hill-esque, and I could see him breaking out similarly to Hill, “if” Hill wasn‘t on the field with him. It certainly helps that the Chiefs are taking him off special teams to focus on offense, as that‘s the same thing they did with Hill a few years ago. Drafting him as a WR4/5 could be worth the reward but understand that he might be the No. 5 option in the passing game behind Hill, Travis Kelce, Clyde Edwards-Helaire, and Sammy Watkins. For a team that hasn‘t thrown the ball more than 583 times in Andy Reid‘s entire time in Kansas City, that directly impacts Hardman, even if he is uber efficient. If he starts playing more snaps than Watkins, that‘s when you‘ll see me completely buy in."
Jerry Jeudy,"Over the last five years, I haven‘t scouted a wide receiver who was more pro-ready and well-rounded than Jeudy. With essentially no offseason, it‘s going to be difficult for him to walk in and develop instant chemistry with Drew Lock. At the same time, everyone on the team is learning a new offense, as Pat Shurmur has walked in as the offensive coordinator. Still, it‘ll be hard for him to overtake Courtland Sutton as the team‘s leader in targets. Jeudy can play many roles, including being the deep threat down the field, playing the possession-style role, or moving into the slot, which he did regularly at Alabama. Sutton isn‘t someone who‘ll move into the slot very often, which is a good thing for Jeudy, as Shurmur‘s slot receivers have done damage in the past. Again, the negative is that fellow rookie KJ Hamler is also a slot presence who‘s going to get some playing time. There‘s a path to Jeudy being a Terry McLaurin-like fantasy option this year, but his path to targets is not as easy. If Sutton stays on the field, Jeudy will be too inconsistent to trust on a weekly basis. He‘s still not a bad on to have on your bench as a WR4/5, because the talent is there."
Blake Jarwin,"Did you know that Jarwin and Jason Witten combined for 124 targets last year? With Witten gone, a lot of targets are up for the taking in Kellen Moore‘s obviously tight end friendly offense. Over the last two seasons, Jarwin has seen a total of 77 targets, turning them into 58 receptions for 672 yards and six touchdowns. That‘s 132.2 half PPR points, which would‘ve ranked eight among tight ends. While he may not be as efficient, it‘s extremely likely that he sees at least 77 targets this season. Think about it... sure, CeeDee Lamb might see more than the 83 targets than Randall Cobb did last year, but not that many more. Even if Jarwin sees just the 83 targets that Witten left behind, he‘ll be a top-12 tight end in 2020. With where he‘s going in drafts, it‘s a no brainer to take him as a late-round upside pick. With all the mouths they have at wide receiver, it‘s tough to see a top-three ceiling, but hey, we aren‘t looking for that."
Joe Burrow,"Trusting a rookie quarterback in fantasy? Nonsense. Now? After we practically had no offseason? It sounds crazy, and it probably is. However, I don‘t know if I‘ve seen a quarterback with Burrow‘s confidence and swag come into the league in a long time. He‘s also walking into a situation where he has one of the best wide receiver depth charts in the league (when healthy). The offense that Zac Taylor ran last year presented plenty of opportunity, as Andy Dalton finished with the 12th most expected fantasy points despite missing three full games. He threw the ball at least 36 times in 11-of-13 games, including three games with 50-plus attempts. The offensive line is a problem, though it helps he‘ll get last year‘s first-round pick Jonah Williams back at left tackle. While the pass attempts and talent at wide receiver are great, what should attract you to Burrow is his willingness to run with the ball. Sure, he broke records as a passer at LSU, but he also rushed for nearly 800 yards and 12 touchdowns over the last two years. That adds breakout potential to a quarterback, so when you combine that with his arm talent, he makes for an ideal QB2 in fantasy. The Bengals defense is in a complete rebuild mode, and while they‘ve added talent this offseason, it‘ll take time for them to come together. They allowed 26.2 points per game last year (8th most), so if they continue to struggle, Burrow could become 2020‘s version of Jameis Winston."
Chris Herndon IV,"There were many who were willing to draft Herndon last year despite his suspension, but he‘s going undrafted after a wasted 2019 season. The Jets are apparently looking to feature him in the passing game, and knowing Jamison Crowder saw 122 targets over the middle of the field last year, it‘d make sense. While Adam Gase has held players back throughout his time as a head coach, Herndon should have a few streaming performances in him this year."
Breshad Perriman,"Perriman is now on his fourth team in as many years. It‘s tough to be a reliable fantasy option when that‘s the case. Not only that, but the Jets are still under Adam Gase, which means there won‘t be many plays per game (he‘s been under 59 plays per game in each of the last two seasons). The Jets have what I deemed the toughest schedule in the league for perimeter wide receivers, so even if we see Perriman get the targets, he‘s unlikely to be efficient with them. He closed the 2019 season with 25 receptions for 506 yards and five touchdowns over his last five games, which will have some intrigued, but my guess is that you‘ll drop Perriman for a hot waiver wire pickup, as Gase‘s offense isn‘t Bruce Arians’ and Sam Darnold isn‘t Jameis Winston. There will be weeks where Perriman snags a deep ball and pays off, but those are the types of players you can find on the waiver wire all the time. I just don‘t see him getting more than 5-6 targets per game."
Chris Thompson,"Thompson should be in line to see plenty of passing-down work with the Jaguars, as we know that Jay Gruden loved to utilize him heavily in that role when healthy with Washington. With Leonard Fournette being released, Thompson may see a slight uptick in usage, but he does not have the size or durability to carry a major load in the backfield. In half- and full-PPR formats, he should be rostered, but even with Fournette gone, he‘s not worth much in standard leagues."
Jalen Reagor,"Reagor sustained a shoulder injury on August 30th and although the word is that he‘ll avoid surgery, he‘s reportedly likely to miss about four weeks. Prior to the injury, Reagor was set to be a value in drafts, as Alshon Jeffery‘s injury and a lack of reliable receiving options outside DeSean Jackson had him set to see a significant role. The timetable for his return is far from certain, but given that Reagor is a rookie and hasn‘t had any preseason contests to experience the speed of an NFL game, fantasy managers shouldn‘t count on production for him at the outset even after he returns. That‘s especially true given that he won‘t have as much time to benefit from Jeffery‘s likely absence to start the season. All in all, Reagor is a bench stash currently, but be prepared to be unable to use him for fantasy purposes for at least several weeks into the season."
Justin Jackson,"We all watched Raheem Mostert take off during the 2019 season, right? He had tremendous numbers when on the field in his earlier years, just like Jackson, who‘s averaged 5.14 yards per carry over his career to this point. Jackson is going to be fighting for playing time with fourth-round rookie Joshua Kelley this year trying to earn that Melvin Gordon role. It seems likely that the Chargers want Kelley in that role, but is Jackson good enough for them to change their course? It‘s a situation to monitor, as this will be a run-heavy team."
Nyheim Hines,"There are some who are pointing at Hines as the primary beneficiary to Philip Rivers’ arrival in Indianapolis, but I‘m not one of them. Did we forget that the Colts dealt with tons of injuries last year and Hines still wound up with just 96 touches on the year? This is still the same coaching staff who didn‘t put him on the field over a guy like Jonathan Williams. Now you add in Jonathan Taylor and Michael Pittman, and he‘s going to get a bigger role? Nah. Let someone else draft him."
Jack Doyle,"We‘ve watched the Colts tight end duo score plenty of fantasy points over the last two years under Frank Reich, right? They‘ve combined for 186 receptions, 2,096 yards and 25 touchdowns in that time. Now, we get Philip Rivers, the guy who‘s supported a top-11 tight end in all but one season in his long career, yet none of the Colts tight ends are being drafted in the top 18 at the position? The logical one is Doyle, who has now seen 105 targets in 22 games under Frank Reich. Burton is similar in the way that he‘s more of a move tight end while Doyle is the traditional one who‘ll be on the field most of the time. In a year where the Colts threw the ball just 513 times, it‘s good to see Doyle with at least four targets in 12-of-15 games. If you want to wait at tight end and search for a potential every-week starter, Doyle makes some sense."
Justin Jefferson,"In case you didn‘t know, Jefferson is coming off a ridiculous season with LSU where he tallied 111 receptions for 1,540 yards and 18 touchdowns over 15 games. He played the big-slot role for them, which is something the Vikings should take into consideration when figuring out how to best deploy him. Unfortunately, Jefferson wound up on the COVID list and is being forced to miss a lot of camp. Still, he‘s a route-running technician who‘s playing behind a 30-year-old receiver who‘s been dealing with back issues. There‘s an avenue where Jefferson is relied upon as a rookie more than most think, though it would likely require Thielen to be out of the lineup. Under Gary Kubiak/Kevin Stefanski last year, the wide receivers saw just 43.2 percent of the target share (4th-lowest mark in the NFL), making it very difficult for multiple options to be fantasy relevant on a week-to-week basis. Because of that, Jefferson is essentially just a wide receiver handcuff."
Gardner Minshew II,"It was quite miraculous what Minshew accomplished in 2020, especially when you factor in the lack of draft capital (sixth-round pick) they used to acquire him. Don‘t understand just how good he was? Put his numbers up next to Kyler Murray‘s. Minshew averaged more yards and passing touchdowns, while having fewer interceptions per game. And keep in mind that Minshew didn‘t even start two of the games included in that sample. Am I going to say that he should be drafted like Murray? No. However, he is being undervalued by those in 2QB leagues. The average quarterback rushes for a touchdown every 96.2 yards rushing. Had Minshew scored three rushing touchdowns (instead of the zero that he did) on 344 rushing yards, he would‘ve finished as the No. 14 fantasy quarterback... in his rookie season... as a sixth-round pick. The Jaguars defense is as bad as ever, so we‘ll see plenty of pass attempts out of him. It should also be noted that Jay Gruden (his new coordinator) has produced top-14 quarterbacks in 6-of-9 years, and the years he didn‘t, there were injuries and/or multiple quarterbacks playing. Minshew has zero competition and can potentially be a Jameis Winston-lite in 2020. He‘s the perfect target in 2QB leagues and will be streamable quite a bit in 1QB leagues."
DeSean Jackson,"We saw exactly one game with Jackson healthy in the Doug Pederson offense. It led to nine targets, eight receptions, 154 yards, and two touchdowns. To be fair, it was against Washington, but still impressive. It‘s tough to take too much away from just one game, though. He is now 34 years old, so it‘s only a matter of time before his game declines, though we haven‘t seen it yet. He‘s averaged at least 10.0 yards per target in six of his last seven seasons. With Marquise Goodwin opting out for the season, they‘ll need Jackson in the field-stretching role. He‘s a poor man‘s version of Will Fuller at this stage of his career but can still fit in your lineup from time to time. At his current WR58 draft position, he‘s a steal."
Curtis Samuel,"There are a lot of analysts making excuses for Samuel‘s poor production last year, stating that his quarterback play was atrocious. While I don‘t disagree, there are plenty of wide receivers who‘ve had bad quarterback play but managed to be useful. Samuel‘s 0.96 yards per route run in 2019 ranked dead last among the 157 wide receivers with at least 100 targets over the last five years. Heck, his teammate D.J. Moore was able to finish as the WR18. Based on the targets Samuel received and where they took place, he should have finished as the WR16. Look, I‘m not saying Samuel is as bad as he was in 2019, but for him to become a reliable fantasy player, he‘d have to overcome the fact that he‘s now the fourth-best target in the offense, behind McCaffrey, Moore, and Anderson. The Panthers also tried shopping Samuel this offseason, but ultimately held onto him. He‘s someone to look at during bye weeks when the Panthers are double-digit underdogs. Outside of that, you‘re just looking for an injury to him to become anything more than a WR5-type option."
Eric Ebron,"Not many realize that there will be another 100-plus targets available in the Steelers offense with Ben Roethlisberger returning, though we don‘t know how Ebron factors in to that. They still have Vance McDonald under contract and have three wide receivers who are more than capable, which could leave Ebron off the field more than on the field, as he‘s not someone you want blocking for you. He‘s best-suited as a streaming option and not someone you rely on every week."
Kirk Cousins,"It‘s never easy to lose your top receiver during the offseason, which is what happened to Cousins when the Vikings traded away Stefon Diggs. They tried to replace him immediately, snagging Justin Jefferson in the first round of the NFL Draft. For a guy who threw just 444 pass attempts and offers no mobility, it‘s quite an accomplishment to finish as the No. 15 fantasy quarterback, as Cousins did. Now, with Kevin Stefanski out of town, you must wonder if the offense moves towards a more balanced attack under Gary Kubiak, though he may have been the genius behind the offense last year. Still, it‘s unrealistic to think Cousins throws the ball just 444 times again. Not only is the defense going through a rebuild process, but the Vikings just can‘t remain that efficient on the ground. Did you know the previous three seasons, Cousins was the (most recent first) QB12, QB6, and QB5? He‘s trending in the wrong direction, but he‘s still been a usable streamer in 1QB leagues. I‘d be shocked if he‘s below 500 pass attempts this year, though he is going to become less efficient losing Diggs. Even if we repeated last year‘s numbers, Cousins ranked 20th in top-18-type performances, which make him a solid quarterback to use in 2QB/Superflex formats. He has no shot to lose the job, likely sees increased volume, and has finished as a top-five quarterback before. Just don‘t draft him in 1QB leagues as a starter for Week 1, because he‘s playing the Packers, a team he scored just 8.9 and 6.9 fantasy points against last year."
Robby Anderson,"Switching teams as a wide receiver this offseason seems... less than ideal. It does help, however, when there‘s a new quarterback on that team, as well as a coach you‘ve played for in the past. Matt Rhule was the coach while Anderson was at Temple back in 2015. The issue is that Bridgewater‘s strengths don‘t really align with Anderson‘s. Bridgewater threw the ball 20-plus yards just 7.1 percent of the time last year, which ranked second lowest in the league. Anderson‘s skill set just doesn‘t align with Bridgewater‘s strengths as a passer, though they may try to force the issue after spending $20 million over two years on Anderson. Not having an offseason to build rapport makes me a bit more concerned, especially knowing we‘ve seen Anderson‘s effort level best described as “inconsistent” on the field. It‘s tough to say he‘ll be a better fantasy option than he was in New York, only now his asking price is much lower. Being taken outside the top 50 wide receivers is a discount worth taking in best-ball leagues, but in redraft, it‘s tough to say he‘ll be a consistent contributor. He‘s the third option, at best."
A.J. Dillon,"Some believe Dillon is going to walk in and destroy the value of someone like Aaron Jones, while others say he negates the role of Jamaal Williams. I don‘t know if he does either, but when a team spends a second-round pick on a running back, they typically have a plan for them. Over the last seven years, running backs drafted in the second round average 172.3 touches in their rookie season. Dillon is just an early-down back, so he‘ll be extremely touchdown dependent. Knowing how good Jones has been in that role, it‘s tough to take him off the field, so I‘m fine with going the wait-and-see approach with Dillon (and every other non-Jones back in this backfield)."
Jimmy Garoppolo,"There are a lot of people (myself included) who don‘t realize just how impressive Garoppolo‘s numbers have been to this point in his career. He‘s averaged at least 8.0 yards per attempt in every year he‘s started a game, including 8.4 yards per attempt in 2019. He‘s completed 67.5 percent of his passes, and he has a 2.10:1 touchdown to interception ratio. Despite all that, he‘s been a top-12 type quarterback in fantasy just 28.0 percent of the time since joining the 49ers. How is that? He plays for Kyle Shanahan and has averaged just 29.7 pass attempts per game. When you do that to a strictly pocket passer, it crushes his fantasy upside. It‘s unlikely that changes in 2020, especially when you consider he‘ll be without his No. 1 receiver for a while, as Deebo Samuel recovers from broken foot surgery. It‘s worth noting that two of his four QB1 performances in 2019 were against the Cardinals, the team he‘ll play in Week 1. Again, he‘ll be without Samuel, but George Kittle might go nuclear. Garoppolo is a solid quarterback in 2QB formats, even if he doesn‘t come with a top-12 type ceiling."
Carlos Hyde,"After ranking 12th in rushing yards last year, Hyde accepted a one-year deal with the Seahawks. It seems that he‘s insurance for Rashaad Penny, who‘s expected to start the year on the PUP list. But you never know with Pete Carroll, as he‘s not afraid to shake things up. If Chris Carson struggles coming off his hip injury, or fumbles again, we could see Hyde in a 15-touch role. He‘s worth a pick in one of the last few rounds."
N'Keal Harry,"If there‘s someone who moved up my rankings when Cam Newton signed, it was Harry. I didn‘t like him much coming out of college as a wide receiver who didn‘t separate very well, but rather one who relied on winning contested catches. I knew he did that very well, but that didn‘t mesh well with the risk averse Tom Brady. As for Newton, he‘s shown the willingness to target his wide receivers with little separation. Look no further than Kelvin Benjamin and Devin Funchess. The last healthy season Newton played, he threw into tight coverage a whopping 20.5 percent of the time. By comparison, Brady only did that 15.2 percent of the time last year and 13.9 percent in 2018. Harry also dealt with some injuries during his rookie season, which prevented him from playing in a full-time role. Will he play over Mohamed Sanu in 2WR sets? Probably not just yet, but he could be a factor in the red zone, where he works best. He‘s a touchdown-dependent option, but one who won‘t see enough targets to be relevant if Julian Edelman is on the field. If Edelman misses time, Harry would receive a big boost. He‘s a bench stash WR5-type."
